match_id,account_id,hero_id,player_slot,gold,gold_spent,gold_per_min,xp_per_min,kills,deaths,assists,denies,last_hits,stuns,hero_damage,hero_healing,tower_damage,item_0,item_1,item_2,item_3,item_4,item_5,level,leaver_status,xp_hero,xp_creep,xp_roshan,xp_other,gold_other,gold_death,gold_buyback,gold_abandon,gold_sell,gold_destroying_structure,gold_killing_heros,gold_killing_creeps,gold_killing_roshan,gold_killing_couriers,unit_order_none,unit_order_move_to_position,unit_order_move_to_target,unit_order_attack_move,unit_order_attack_target,unit_order_cast_position,unit_order_cast_target,unit_order_cast_target_tree,unit_order_cast_no_target,unit_order_cast_toggle,unit_order_hold_position,unit_order_train_ability,unit_order_drop_item,unit_order_give_item,unit_order_pickup_item,unit_order_pickup_rune,unit_order_purchase_item,unit_order_sell_item,unit_order_disassemble_item,unit_order_move_item,unit_order_cast_toggle_auto,unit_order_stop,unit_order_taunt,unit_order_buyback,unit_order_glyph,unit_order_eject_item_from_stash,unit_order_cast_rune,unit_order_ping_ability,unit_order_move_to_direction,unit_order_patrol,unit_order_vector_target_position,unit_order_radar,unit_order_set_item_combine_lock,unit_order_continue
0,0,86,0,3261,10960,347,362,9,3,18,1,30,76.7356,8690,218,143,180,37,73,56,108,0,16,0,8840.0,5440.0,,83.0,50.0,-957.0,,,212.0,3120.0,5145.0,1087.0,400.0,,,4070.0,1.0,25.0,416.0,51.0,144.0,3.0,71.0,,188.0,16.0,,,,2.0,35.0,2.0,,11.0,,,,,,,,6.0,,,,,,
0,1,51,1,2954,17760,494,659,13,3,18,9,109,87.4164,23747,0,423,46,63,119,102,24,108,22,0,14331.0,8440.0,2683.0,671.0,395.0,-1137.0,,,1650.0,3299.0,6676.0,4317.0,937.0,,,5894.0,214.0,165.0,1031.0,98.0,39.0,4.0,439.0,,346.0,22.0,,,12.0,52.0,30.0,4.0,,21.0,,,,,,,,14.0,,,,,,
0,0,83,2,110,12195,350,385,0,4,15,1,58,None,4217,1595,399,48,60,59,108,65,0,17,0,6692.0,8112.0,,453.0,259.0,-1436.0,-1015.0,,,3142.0,2418.0,3697.0,400.0,,,7053.0,3.0,132.0,645.0,36.0,160.0,20.0,373.0,,643.0,17.0,5.0,,7.0,8.0,28.0,,1.0,18.0,,,,1.0,,,,17.0,,,,,,
0,2,11,3,1179,22505,599,605,8,4,19,6,271,None,14832,2714,6055,63,147,154,164,79,160,21,0,8583.0,14230.0,894.0,293.0,100.0,-2156.0,,,938.0,4714.0,4104.0,10432.0,400.0,,,4712.0,133.0,163.0,690.0,9.0,15.0,7.0,406.0,,150.0,21.0,,,1.0,9.0,45.0,7.0,,14.0,,,,,1.0,,,13.0,,,,,,
0,3,67,4,3307,23825,613,762,20,3,17,13,245,None,33740,243,1833,114,92,147,0,137,63,24,0,15814.0,14325.0,,62.0,,-1437.0,-1056.0,,4194.0,3217.0,7467.0,9220.0,400.0,,,3853.0,7.0,7.0,1173.0,31.0,84.0,8.0,198.0,,111.0,23.0,1.0,,,2.0,44.0,6.0,,13.0,,,,1.0,3.0,,,23.0,,,,,,
0,4,106,128,476,12285,397,524,5,6,8,5,162,None,10725,0,112,145,73,149,48,212,0,19,0,8502.0,12259.0,,1.0,,-2394.0,-2240.0,,200.0,320.0,5281.0,6193.0,,,,6593.0,166.0,76.0,832.0,196.0,3.0,5.0,96.0,2.0,161.0,19.0,,,2.0,,36.0,3.0,,3.0,,,,2.0,,,,2.0,,,,,,
0,0,102,129,317,10355,303,369,4,13,5,2,107,None,15028,764,0,50,11,102,36,185,81,16,0,5201.0,9417.0,,1.0,,-3287.0,,,262.0,320.0,3396.0,4356.0,,,,3325.0,63.0,100.0,609.0,13.0,173.0,14.0,168.0,,118.0,16.0,,,1.0,1.0,43.0,3.0,,13.0,,,,,4.0,1.0,,1.0,,,,,,
0,5,46,130,2390,13395,452,517,4,8,6,31,208,None,10230,0,2438,41,63,36,147,168,21,19,0,6853.0,13396.0,,244.0,107.0,-3682.0,,,242.0,695.0,4350.0,8797.0,,,,13557.0,11.0,214.0,3386.0,122.0,,3.0,506.0,,491.0,18.0,2.0,3.0,18.0,18.0,30.0,1.0,,19.0,,,,,,,,4.0,110.0,,,,,
0,0,7,131,475,5035,189,223,1,14,8,0,27,67.0277,4774,0,0,36,0,0,46,0,180,12,0,4798.0,4038.0,,27.0,,-3286.0,-39.0,,,320.0,2127.0,1089.0,,,,2217.0,55.0,5.0,152.0,68.0,18.0,9.0,71.0,,97.0,12.0,1.0,2.0,1.0,1.0,38.0,,,14.0,,21.0,,1.0,1.0,,,4.0,,,,,,
0,6,73,132,60,17550,496,456,1,11,6,0,147,60.9748,6398,292,0,63,9,116,65,229,79,18,0,6659.0,10471.0,,933.0,5679.0,-4039.0,-1063.0,,637.0,320.0,2685.0,7011.0,,,,3801.0,2.0,105.0,516.0,64.0,102.0,19.0,124.0,,135.0,18.0,2.0,,2.0,26.0,33.0,4.0,,22.0,,,,1.0,1.0,,,14.0,,,,,,
